country,year,ufive5
eth,2017,1522.69677734375
fin,2000,0.0
fin,2001,0.0
fin,2002,0.0
fin,2003,0.0
fin,2004,0.0
fin,2005,0.0
fin,2006,0.0
fin,2007,0.0
fin,2008,0.0
fin,2009,0.0
fin,2010,0.0
fin,2011,0.0
fin,2012,0.0
fin,2013,0.0
fin,2014,0.0
fin,2015,0.0
fin,2016,0.0
fin,2017,0.0
fji,2000,1.6954419612884521
fji,2001,1.745723009109497
fji,2002,1.276347041130066
fji,2003,1.2661739587783813
fji,2004,1.214766025543213
fji,2005,1.20517897605896
fji,2006,1.1973869800567627
fji,2007,1.1505260467529297
fji,2008,1.1434379816055298
fji,2009,1.136391043663025
fji,2010,1.1289650201797485
fji,2011,1.119639277458191
fji,2012,1.107059121131897
fji,2013,1.1007689237594604
fji,2014,1.107059121131897
fji,2015,1.119639277458191
fji,2016,1.1385096311569214
fji,2017,1.1510897874832153
fra,2000,0.0
fra,2001,0.0
fra,2002,0.0
fra,2003,0.0
fra,2004,0.0
fra,2005,0.0
fra,2006,0.0
fra,2007,0.0
fra,2008,0.0
fra,2009,0.0
fra,2010,0.0
fra,2011,0.0
fra,2012,0.0
fra,2013,0.0
fra,2014,0.0
fra,2015,0.0
fra,2016,0.0
fra,2017,0.0
fsm,2000,0.9151739478111267
fsm,2001,0.8220194578170776
fsm,2002,0.7139195203781128
fsm,2003,0.6181210875511169
fsm,2004,0.5484089851379395
fsm,2005,0.4790797531604767
fsm,2006,0.42226046323776245
fsm,2007,0.36563459038734436
fsm,2008,0.32656076550483704
fsm,2009,0.2884124219417572
fsm,2010,0.25332680344581604
fsm,2011,0.23053936660289764
fsm,2012,0.21198058128356934
fsm,2013,0.19235655665397644
fsm,2014,0.17696717381477356
fsm,2015,0.1637183576822281
fsm,2016,0.15265865623950958
fsm,2017,0.14910843968391418
gab,2000,18.188825607299805
gab,2001,17.75958251953125
gab,2002,17.226842880249023
gab,2003,16.686569213867188
gab,2004,16.241226196289062
gab,2005,15.77144718170166
gab,2006,14.907883644104004
gab,2007,14.010849952697754
gab,2008,13.001164436340332
gab,2009,12.147500038146973
gab,2010,11.466853141784668
gab,2011,10.846983909606934
gab,2012,10.104178428649902
gab,2013,9.16260814666748
gab,2014,8.279793739318848
gab,2015,7.618825912475586
gab,2016,7.016393184661865
gab,2017,6.87014627456665
gbr,2000,0.0
gbr,2001,0.0
gbr,2002,0.0
gbr,2003,0.0
gbr,2004,0.0
gbr,2005,0.0
gbr,2006,0.0
gbr,2007,0.0
gbr,2008,0.0
gbr,2009,0.0
gbr,2010,0.0
gbr,2011,0.0
gbr,2012,0.0
gbr,2013,0.0
gbr,2014,0.0
gbr,2015,0.0
gbr,2016,0.0
gbr,2017,0.0
geo,2000,0.0
geo,2001,0.0
geo,2002,0.0
geo,2003,0.0
geo,2004,0.0
geo,2005,0.0
geo,2006,0.0
geo,2007,0.0
geo,2008,0.0
geo,2009,0.0
geo,2010,0.0
geo,2011,0.0
geo,2012,0.0
geo,2013,0.0
geo,2014,0.0
geo,2015,0.0
geo,2016,0.0
geo,2017,0.0
gha,2000,464.5538330078125
gha,2001,435.5470275878906
gha,2002,405.75372314453125
gha,2003,372.6820373535156
gha,2004,341.7884826660156
gha,2005,311.66949462890625
gha,2006,291.0122375488281
gha,2007,278.87493896484375
gha,2008,268.784423828125
