country,year,nnd
fji,2006,209.0
fji,2007,203.99998474121094
fji,2008,196.0
fji,2009,187.99998474121094
fji,2010,182.0
fji,2011,178.0
fji,2012,176.0
fji,2013,175.0
fji,2014,176.0
fji,2015,177.99998474121094
fji,2016,181.00001525878906
fji,2017,182.99278259277344
fra,2000,2058.0
fra,2001,2069.0
fra,2002,2071.0
fra,2003,2023.0001220703125
fra,2004,1943.0001220703125
fra,2005,1882.0001220703125
fra,2006,1860.000244140625
fra,2007,1848.0
fra,2008,1822.0
fra,2009,1786.0001220703125
fra,2010,1757.0001220703125
fra,2011,1751.0001220703125
fra,2012,1764.0001220703125
fra,2013,1793.0
fra,2014,1829.0001220703125
fra,2015,1856.0
fra,2016,1864.0
fra,2017,1858.0
fsm,2000,81.0
fsm,2001,78.00000762939453
fsm,2002,74.0
fsm,2003,69.99999237060547
fsm,2004,67.00000762939453
fsm,2005,63.000003814697266
fsm,2006,60.0
fsm,2007,57.0
fsm,2008,55.0
fsm,2009,52.999996185302734
fsm,2010,50.0
fsm,2011,49.0
fsm,2012,48.0
fsm,2013,46.0
fsm,2014,44.999996185302734
fsm,2015,44.0
fsm,2016,43.0
fsm,2017,41.999996185302734
gab,2000,1185.0001220703125
gab,2001,1193.0
gab,2002,1201.0001220703125
gab,2003,1211.0001220703125
gab,2004,1223.0
gab,2005,1238.0
gab,2006,1254.0
gab,2007,1272.0
gab,2008,1288.0
gab,2009,1302.0001220703125
gab,2010,1312.0
gab,2011,1319.0001220703125
gab,2012,1322.0001220703125
gab,2013,1319.0001220703125
gab,2014,1310.0
gab,2015,1295.0001220703125
gab,2016,1276.0
gab,2017,1252.000244140625
gbr,2000,2626.999755859375
gbr,2001,2557.0
gbr,2002,2508.0
gbr,2003,2484.0
gbr,2004,2487.999755859375
gbr,2005,2510.0
gbr,2006,2529.0
gbr,2007,2529.0
gbr,2008,2503.000244140625
gbr,2009,2465.0
gbr,2010,2421.999755859375
gbr,2011,2368.0
gbr,2012,2303.000244140625
gbr,2013,2242.0
gbr,2014,2195.999755859375
gbr,2015,2167.000244140625
gbr,2016,2145.0
gbr,2017,2121.000244140625
geo,2000,1249.0
geo,2001,1165.0
geo,2002,1092.9998779296875
geo,2003,1031.0
geo,2004,974.0000610351562
geo,2005,924.9999389648438
geo,2006,879.0
geo,2007,836.9999389648438
geo,2008,794.9999389648438
geo,2009,752.0
geo,2010,708.0000610351562
geo,2011,660.0
geo,2012,607.0000610351562
geo,2013,549.0
geo,2014,491.0
geo,2015,435.0
geo,2016,386.0
geo,2017,345.8978576660156
gha,2000,24385.001953125
gha,2001,24291.001953125
gha,2002,24209.0
gha,2003,24230.001953125
