global,year,age_group,cause,fraction_of_deaths
global,2001,u5,6,0.04864922910928726
global,2002,u5,6,0.04654182866215706
global,2003,u5,6,0.052231233566999435
global,2004,u5,6,0.03571108356118202
global,2005,u5,6,0.04160500690340996
global,2006,u5,6,0.027469230815768242
global,2007,u5,6,0.018185153603553772
global,2008,u5,6,0.021268200129270554
global,2009,u5,6,0.022654904052615166
global,2010,u5,6,0.019280485808849335
global,2011,u5,6,0.0283220037817955
global,2012,u5,6,0.020319079980254173
global,2013,u5,6,0.023665418848395348
global,2014,u5,6,0.022695884108543396
global,2015,u5,6,0.02409886009991169
global,2016,u5,6,0.025627819821238518
global,2017,u5,6,0.016931379213929176
global,2000,u5,7,0.034087393432855606
global,2001,u5,7,0.03413861617445946
global,2002,u5,7,0.0342545248568058
global,2003,u5,7,0.03496696799993515
global,2004,u5,7,0.03437042981386185
global,2005,u5,7,0.03466873988509178
global,2006,u5,7,0.03210541978478432
global,2007,u5,7,0.03215298056602478
global,2008,u5,7,0.033612146973609924
global,2009,u5,7,0.031241582706570625
global,2010,u5,7,0.028902573511004448
global,2011,u5,7,0.027936551719903946
global,2012,u5,7,0.029508139938116074
global,2013,u5,7,0.027425173670053482
global,2014,u5,7,0.02455306239426136
global,2015,u5,7,0.024468466639518738
global,2016,u5,7,0.022505972534418106
global,2017,u5,7,0.023975500836968422
global,2000,u5,8,0.06573838740587234
global,2001,u5,8,0.06779001653194427
global,2002,u5,8,0.06995505839586258
global,2003,u5,8,0.07091077417135239
global,2004,u5,8,0.07351423799991608
global,2005,u5,8,0.07280521094799042
global,2006,u5,8,0.07333815842866898
global,2007,u5,8,0.07189078629016876
global,2008,u5,8,0.06791851669549942
global,2009,u5,8,0.06595727056264877
global,2010,u5,8,0.06325361877679825
global,2011,u5,8,0.05961696431040764
global,2012,u5,8,0.05726585164666176
global,2013,u5,8,0.05480143427848816
global,2014,u5,8,0.052996061742305756
global,2015,u5,8,0.05121765285730362
global,2016,u5,8,0.049416493624448776
global,2017,u5,8,0.04861981421709061
global,2000,u5,9,0.17583152651786804
global,2001,u5,9,0.17374752461910248
global,2002,u5,9,0.17212915420532227
global,2003,u5,9,0.16930213570594788
global,2004,u5,9,0.1703021079301834
global,2005,u5,9,0.1685713678598404
global,2006,u5,9,0.17087505757808685
global,2007,u5,9,0.17118988931179047
global,2008,u5,9,0.16835278272628784
global,2009,u5,9,0.16745559871196747
global,2010,u5,9,0.16591396927833557
global,2011,u5,9,0.1637200117111206
global,2012,u5,9,0.16240844130516052
global,2013,u5,9,0.15833477675914764
global,2014,u5,9,0.15563058853149414
global,2015,u5,9,0.14975449442863464
global,2016,u5,9,0.14900454878807068
global,2017,u5,9,0.14939826726913452
global,2000,u5,10,0.13701343536376953
global,2001,u5,10,0.13825252652168274
global,2002,u5,10,0.13988140225410461
global,2003,u5,10,0.14065802097320557
global,2004,u5,10,0.1443408727645874
global,2005,u5,10,0.14625585079193115
global,2006,u5,10,0.15067344903945923
global,2007,u5,10,0.15482977032661438
global,2008,u5,10,0.15643934905529022
global,2009,u5,10,0.15943098068237305
global,2010,u5,10,0.16251763701438904
global,2011,u5,10,0.16524957120418549
global,2012,u5,10,0.17000241577625275
global,2013,u5,10,0.17232468724250793
global,2014,u5,10,0.17434890568256378
global,2015,u5,10,0.1756320297718048
global,2016,u5,10,0.17589020729064941
global,2017,u5,10,0.17815729975700378
global,2000,u5,11,0.11336486786603928
global,2001,u5,11,0.11372648924589157
global,2002,u5,11,0.11421656608581543
global,2003,u5,11,0.11356841027736664
global,2004,u5,11,0.11511531472206116
global,2005,u5,11,0.11486504971981049
global,2006,u5,11,0.11699523776769638
global,2007,u5,11,0.11850009113550186
global,2008,u5,11,0.11817161738872528
global,2009,u5,11,0.11869528889656067
global,2010,u5,11,0.11852885782718658
global,2011,u5,11,0.11820066720247269
global,2012,u5,11,0.11936511099338531
global,2013,u5,11,0.11955247074365616
global,2014,u5,11,0.12040223926305771
global,2015,u5,11,0.12099222093820572
global,2016,u5,11,0.12183280289173126
global,2017,u5,11,0.12405407428741455
global,2000,u5,12,0.0482763797044754
global,2001,u5,12,0.04942280799150467
global,2002,u5,12,0.05083560571074486
global,2003,u5,12,0.05181364715099335
global,2004,u5,12,0.05388844758272171
global,2005,u5,12,0.055022645741701126
global,2006,u5,12,0.056823838502168655
global,2007,u5,12,0.05867411941289902
global,2008,u5,12,0.059644635766744614
global,2009,u5,12,0.06080884858965874
global,2010,u5,12,0.06112145259976387
global,2011,u5,12,0.060915347188711166
global,2012,u5,12,0.06136369705200195
global,2013,u5,12,0.06129079312086105
global,2014,u5,12,0.06195380538702011
global,2015,u5,12,0.0625351145863533
global,2016,u5,12,0.06340521574020386
global,2017,u5,12,0.06465001404285431
