country,year,live_births
cyp,2001,12267
cyp,2002,12156
cyp,2003,12109
cyp,2004,12123
cyp,2005,12189
cyp,2006,12295
cyp,2007,12420
cyp,2008,12545
cyp,2009,12658
cyp,2010,12746
cyp,2011,12804
cyp,2012,12834
cyp,2013,12838
cyp,2014,12817
cyp,2015,12769
cyp,2016,12695
cyp,2017,12600
cze,2000,88224
cze,2001,89643
cze,2002,92290
cze,2003,95708
cze,2004,99557
cze,2005,103410
cze,2006,106860
cze,2007,109671
cze,2008,111683
cze,2009,112798
cze,2010,113048
cze,2011,112609
cze,2012,111807
cze,2013,110913
cze,2014,110037
cze,2015,109231
cze,2016,108476
cze,2017,107672
deu,2000,749244
deu,2001,736819
deu,2002,724025
deu,2003,711877
deu,2004,700998
deu,2005,692005
deu,2006,685323
deu,2007,680911
deu,2008,678657
deu,2009,678537
deu,2010,680510
deu,2011,684444
deu,2012,689903
deu,2013,696372
deu,2014,703406
deu,2015,710627
deu,2016,717762
deu,2017,724607
dji,2000,22454
dji,2001,22451
dji,2002,22434
dji,2003,22366
dji,2004,22246
dji,2005,22083
dji,2006,21903
dji,2007,21738
dji,2008,21612
dji,2009,21533
dji,2010,21503
dji,2011,21513
dji,2012,21545
dji,2013,21582
dji,2014,21617
dji,2015,21645
dji,2016,21665
dji,2017,21678
dma,2000,1132
dma,2001,1086
dma,2002,1049
dma,2003,1020
dma,2004,1001
dma,2005,992
dma,2006,992
dma,2007,999
dma,2008,1010
dma,2009,1024
dma,2010,1039
dma,2011,1055
dma,2012,1070
dma,2013,1084
dma,2014,1095
dma,2015,1104
dma,2016,1109
dma,2017,1110
dnk,2000,65721
dnk,2001,65346
dnk,2002,65085
dnk,2003,64927
dnk,2004,64852
dnk,2005,64764
dnk,2006,64528
dnk,2007,64056
dnk,2008,63319
dnk,2009,62359
dnk,2010,61286
dnk,2011,60261
dnk,2012,59447
dnk,2013,58964
dnk,2014,58860
dnk,2015,59143
dnk,2016,59770
dnk,2017,60616
dom,2000,215769
dom,2001,216829
dom,2002,217902
dom,2003,218834
dom,2004,219555
dom,2005,220028
dom,2006,220267
dom,2007,220335
dom,2008,220281
dom,2009,220106
dom,2010,219800
dom,2011,219340
dom,2012,218716
dom,2013,217927
dom,2014,216986
dom,2015,215914
dom,2016,214734
dom,2017,213478
dza,2000,609986
dza,2001,609434
dza,2002,618543
dza,2003,636646
dza,2004,662912
dza,2005,696440
dza,2006,736007
dza,2007,779042
dza,2008,822546
dza,2009,863815
dza,2010,899661
dza,2011,927363
dza,2012,946162
dza,2013,955930
dza,2014,956689
dza,2015,949277
dza,2016,935358
dza,2017,917620
ecu,2000,314356
ecu,2001,314083
ecu,2002,314197
ecu,2003,314819
ecu,2004,315976
ecu,2005,317620
ecu,2006,319620
ecu,2007,321742
ecu,2008,323777
ecu,2009,325607
ecu,2010,327145
ecu,2011,328355
ecu,2012,329285
ecu,2013,329976
ecu,2014,330424
ecu,2015,330633
ecu,2016,330611
ecu,2017,330390
egy,2000,1772760
egy,2001,1798131
egy,2002,1825355
egy,2003,1853309
egy,2004,1882637
egy,2005,1918071
egy,2006,1966198
egy,2007,2030410
egy,2008,2110474
egy,2009,2202603
egy,2010,2298594
egy,2011,2387928
egy,2012,2461231
egy,2013,2512079
egy,2014,2538271
egy,2015,2540696
egy,2016,2523760
egy,2017,2496408
eri,2000,120886
eri,2001,124815
eri,2002,129394
eri,2003,134274
eri,2004,139190
eri,2005,143837
eri,2006,147958
eri,2007,151453
eri,2008,154271
eri,2009,156369
eri,2010,157769
eri,2011,158575
eri,2012,159010
eri,2013,159280
eri,2014,159506
eri,2015,159779
eri,2016,160142
eri,2017,160578
esp,2000,402699
esp,2001,414984
esp,2002,428737
esp,2003,442856
esp,2004,456292
esp,2005,467629
esp,2006,475524
esp,2007,479447
esp,2008,479254
esp,2009,475035
esp,2010,467342
esp,2011,457150
esp,2012,445852
esp,2013,434656
esp,2014,424234
esp,2015,414941
esp,2016,406734
esp,2017,399129
est,2000,12688
est,2001,12872
est,2002,13195
est,2003,13614
est,2004,14082
est,2005,14532
est,2006,14898
est,2007,15143
est,2008,15250
est,2009,15213
est,2010,15055
est,2011,14822
est,2012,14575
est,2013,14362
est,2014,14198
est,2015,14087
est,2016,14011
est,2017,13936
eth,2000,2914940
eth,2001,2939129
eth,2002,2954878
eth,2003,2964730
eth,2004,2970859
eth,2005,2976251
eth,2006,2983918
eth,2007,2995733
eth,2008,3012903
eth,2009,3036015
eth,2010,3064747
eth,2011,3097772
eth,2012,3132542
eth,2013,3166831
eth,2014,3199532
eth,2015,3229950
eth,2016,3257962
eth,2017,3284111
fin,2000,57539
fin,2001,57276
fin,2002,57282
fin,2003,57491
fin,2004,57856
fin,2005,58293
fin,2006,58707
fin,2007,59025
fin,2008,59206
fin,2009,59235
fin,2010,59147
fin,2011,59008
fin,2012,58907
fin,2013,58901
fin,2014,59006
fin,2015,59210
fin,2016,59477
fin,2017,59749
fji,2000,19953
fji,2001,19799
fji,2002,19650
fji,2003,19504
fji,2004,19360
fji,2005,19218
fji,2006,19079
fji,2007,18940
fji,2008,18799
fji,2009,18656
fji,2010,18508
fji,2011,18350
fji,2012,18182
fji,2013,18004
fji,2014,17819
fji,2015,17628
fji,2016,17436
fji,2017,17246
fra,2000,752633
fra,2001,758648
fra,2002,764693
fra,2003,770534
fra,2004,775854
fra,2005,780247
fra,2006,783355
fra,2007,785087
fra,2008,785461
fra,2009,784533
fra,2010,782463
fra,2011,779508
fra,2012,776066
fra,2013,772517
fra,2014,769117
fra,2015,766047
fra,2016,763374
fra,2017,761031
fsm,2000,3223
fsm,2001,3142
fsm,2002,3051
fsm,2003,2956
fsm,2004,2860
fsm,2005,2769
fsm,2006,2686
fsm,2007,2614
fsm,2008,2553
fsm,2009,2505
fsm,2010,2473
fsm,2011,2454
fsm,2012,2448
fsm,2013,2451
fsm,2014,2460
fsm,2015,2475
fsm,2016,2493
fsm,2017,2514
gab,2000,41216
gab,2001,41878
gab,2002,42633
gab,2003,43495
gab,2004,44470
gab,2005,45577
gab,2006,46833
gab,2007,48211
gab,2008,49669
gab,2009,51161
gab,2010,52621
gab,2011,53981
gab,2012,55191
gab,2013,56215
gab,2014,57030
gab,2015,57624
gab,2016,58006
gab,2017,58227
gbr,2000,695802
gbr,2001,690090
gbr,2002,690012
gbr,2003,696077
gbr,2004,707917
gbr,2005,724133
gbr,2006,742537
gbr,2007,760478
gbr,2008,775837
gbr,2009,787603
gbr,2010,795425
gbr,2011,799769
gbr,2012,802093
gbr,2013,803598
gbr,2014,804657
gbr,2015,805499
gbr,2016,806147
gbr,2017,806368
geo,2000,56595
geo,2001,55495
geo,2002,55054
geo,2003,55160
geo,2004,55705
geo,2005,56550
geo,2006,57544
geo,2007,58527
geo,2008,59347
geo,2009,59882
geo,2010,60019
geo,2011,59697
geo,2012,58976
geo,2013,57937
geo,2014,56629
geo,2015,55129
geo,2016,53528
geo,2017,51921
gha,2000,673264
gha,2001,684125
gha,2002,695735
gha,2003,708317
gha,2004,721909
gha,2005,736583
gha,2006,752335
gha,2007,768812
gha,2008,785538
gha,2009,802064
gha,2010,817766
gha,2011,832025
gha,2012,844520
gha,2013,855092
gha,2014,863704
gha,2015,870487
gha,2016,875758
gha,2017,880105
gin,2000,377658
gin,2001,381677
gin,2002,385302
gin,2003,388803
gin,2004,392356
gin,2005,396081
gin,2006,400015
gin,2007,404089
gin,2008,408257
gin,2009,412551
gin,2010,416993
gin,2011,421591
gin,2012,426337
gin,2013,431232
gin,2014,436283
gin,2015,441514
gin,2016,446949
gin,2017,452587
gmb,2000,56042
gmb,2001,57496
gmb,2002,58976
gmb,2003,60467
gmb,2004,61967
gmb,2005,63481
gmb,2006,65022
gmb,2007,66598
gmb,2008,68207
gmb,2009,69840
gmb,2010,71482
gmb,2011,73111
gmb,2012,74709
gmb,2013,76262
gmb,2014,77762
gmb,2015,79207
gmb,2016,80606
gmb,2017,81971
gnb,2000,51599
gnb,2001,52264
gnb,2002,53019
gnb,2003,53855
gnb,2004,54765
gnb,2005,55749
gnb,2006,56803
gnb,2007,57911
gnb,2008,59048
gnb,2009,60189
gnb,2010,61303
gnb,2011,62363
gnb,2012,63351
gnb,2013,64257
gnb,2014,65072
gnb,2015,65794
gnb,2016,66430
gnb,2017,67002
gnq,2000,25315
gnq,2001,26253
gnq,2002,27226
gnq,2003,28233
gnq,2004,29270
gnq,2005,30329
gnq,2006,31405
gnq,2007,32488
gnq,2008,33571
gnq,2009,34646
gnq,2010,35705
gnq,2011,36746
gnq,2012,37768
gnq,2013,38772
gnq,2014,39758
gnq,2015,40726
gnq,2016,41680
gnq,2017,42623
grc,2000,110303
grc,2001,110879
grc,2002,111908
grc,2003,113339
grc,2004,115009
grc,2005,116576
grc,2006,117617
grc,2007,117810
grc,2008,116965
grc,2009,115059
grc,2010,112201
grc,2011,108633
grc,2012,104762
grc,2013,100949
grc,2014,97394
grc,2015,94229
grc,2016,91488
grc,2017,89070
grd,2000,1973
grd,2001,1947
grd,2002,1931
grd,2003,1927
grd,2004,1931
grd,2005,1944
grd,2006,1962
grd,2007,1984
grd,2008,2005
grd,2009,2023
grd,2010,2037
grd,2011,2045
grd,2012,2048
grd,2013,2047
grd,2014,2039
grd,2015,2026
grd,2016,2006
grd,2017,1980
gtm,2000,413176
gtm,2001,415209
gtm,2002,415999
gtm,2003,415540
gtm,2004,414004
gtm,2005,411762
gtm,2006,409310
gtm,2007,407172
gtm,2008,405759
gtm,2009,405285
gtm,2010,405844
gtm,2011,407363
gtm,2012,409498
gtm,2013,411928
gtm,2014,414489
gtm,2015,417039
gtm,2016,419475
gtm,2017,421762
guy,2000,19402
guy,2001,18920
guy,2002,18407
guy,2003,17887
guy,2004,17382
guy,2005,16921
guy,2006,16532
guy,2007,16226
guy,2008,16007
guy,2009,15875
guy,2010,15818
guy,2011,15821
guy,2012,15853
guy,2013,15890
guy,2014,15915
guy,2015,15916
guy,2016,15889
guy,2017,15839
hnd,2000,213096
hnd,2001,213701
hnd,2002,213880
hnd,2003,213611
hnd,2004,212907
hnd,2005,211763
hnd,2006,210185
hnd,2007,208267
hnd,2008,206146
hnd,2009,203964
hnd,2010,201917
hnd,2011,200198
hnd,2012,198905
hnd,2013,198084
hnd,2014,197740
hnd,2015,197819
hnd,2016,198206
hnd,2017,198713
hrv,2000,45060
hrv,2001,43834
hrv,2002,42865
hrv,2003,42290
hrv,2004,42123
hrv,2005,42295
hrv,2006,42665
hrv,2007,43030
hrv,2008,43231
hrv,2009,43200
hrv,2010,42907
hrv,2011,42376
hrv,2012,41702
hrv,2013,40970
hrv,2014,40213
hrv,2015,39461
hrv,2016,38728
hrv,2017,38014
hti,2000,266029
hti,2001,265747
hti,2002,265646
hti,2003,265783
hti,2004,266141
hti,2005,266629
hti,2006,267097
hti,2007,267391
hti,2008,267402
hti,2009,267105
hti,2010,266535
hti,2011,265784
hti,2012,264981
hti,2013,264220
hti,2014,263525
hti,2015,262887
hti,2016,262259
hti,2017,261566
hun,2000,95984
hun,2001,95231
hun,2002,94994
hun,2003,95028
hun,2004,95192
hun,2005,95318
hun,2006,95260
hun,2007,94969
hun,2008,94427
hun,2009,93626
hun,2010,92619
hun,2011,91508
hun,2012,90430
hun,2013,89488
hun,2014,88719
hun,2015,88128
hun,2016,87683
hun,2017,87307
idn,2000,4611047
idn,2001,4682824
idn,2002,4756549
idn,2003,4824792
idn,2004,4883524
idn,2005,4931043
idn,2006,4968302
idn,2007,4998853
idn,2008,5025029
idn,2009,5046403
idn,2010,5061235
idn,2011,5067185
idn,2012,5062867
idn,2013,5048017
idn,2014,5023532
idn,2015,4991134
idn,2016,4953196
idn,2017,4912756
ind,2000,27879562
ind,2001,27883140
ind,2002,27868813
ind,2003,27832703
ind,2004,27769115
ind,2005,27663221
ind,2006,27498239
ind,2007,27271185
ind,2008,26988693
ind,2009,26664232
ind,2010,26323768
ind,2011,25999033
ind,2012,25716525
ind,2013,25494076
ind,2014,25337889
ind,2015,25243769
ind,2016,25196653
ind,2017,25169393
irl,2000,57794
irl,2001,59562
irl,2002,61447
irl,2003,63419
irl,2004,65403
irl,2005,67306
irl,2006,69032
irl,2007,70503
irl,2008,71647
irl,2009,72410
irl,2010,72735
irl,2011,72587
irl,2012,72023
irl,2013,71119
irl,2014,69942
irl,2015,68565
irl,2016,67063
irl,2017,65518
irn,2000,1239458
irn,2001,1224387
irn,2002,1219437
irn,2003,1223102
irn,2004,1234012
irn,2005,1251119
irn,2006,1273493
irn,2007,1299322
irn,2008,1326191
irn,2009,1351507
irn,2010,1372296
irn,2011,1385994
irn,2012,1391593
irn,2013,1388541
irn,2014,1376410
irn,2015,1355166
irn,2016,1325495
irn,2017,1289620
irq,2000,839251
irq,2001,856483
irq,2002,874816
irq,2003,894841
irq,2004,916798
irq,2005,940914
irq,2006,967243
irq,2007,995280
irq,2008,1024391
irq,2009,1054041
irq,2010,1083532
irq,2011,1112174
irq,2012,1139531
irq,2013,1165306
irq,2014,1189324
irq,2015,1211574
irq,2016,1232270
irq,2017,1251966
isl,2000,4125
isl,2001,4123
isl,2002,4152
isl,2003,4207
isl,2004,4285
isl,2005,4375
isl,2006,4462
isl,2007,4535
isl,2008,4584
isl,2009,4606
isl,2010,4601
isl,2011,4576
isl,2012,4542
isl,2013,4508
isl,2014,4478
isl,2015,4454
isl,2016,4438
isl,2017,4425
isr,2000,127413
isr,2001,129922
isr,2002,132433
isr,2003,135036
isr,2004,137767
isr,2005,140714
isr,2006,143965
isr,2007,147485
isr,2008,151172
isr,2009,154894
isr,2010,158412
isr,2011,161450
isr,2012,163829
