global,year,age_group,cause,death_rate
global,2010,u5,6,0.9707956314086914
global,2011,u5,6,1.3741918802261353
global,2012,u5,6,0.9393000602722168
global,2013,u5,6,1.055944561958313
global,2014,u5,6,0.9750804305076599
global,2015,u5,6,1.000200867652893
global,2016,u5,6,1.0300636291503906
global,2017,u5,6,0.652859628200531
global,2000,u5,7,2.6102192401885986
global,2001,u5,7,2.527830123901367
global,2002,u5,7,2.4403467178344727
global,2003,u5,7,2.411500930786133
global,2004,u5,7,2.248136520385742
global,2005,u5,7,2.1823418140411377
global,2006,u5,7,1.9128905534744263
global,2007,u5,7,1.8207993507385254
global,2008,u5,7,1.8369899988174438
global,2009,u5,7,1.6354011297225952
global,2010,u5,7,1.4552793502807617
global,2011,u5,7,1.3554894924163818
global,2012,u5,7,1.3640871047973633
global,2013,u5,7,1.2237037420272827
global,2014,u5,7,1.0548701286315918
global,2015,u5,7,1.0155410766601562
global,2016,u5,7,0.9045866131782532
global,2017,u5,7,0.9244750738143921
global,2000,u5,8,5.033872604370117
global,2001,u5,8,5.0195841789245605
global,2002,u5,8,4.983709335327148
global,2003,u5,8,4.890369892120361
global,2004,u5,8,4.808495044708252
global,2005,u5,8,4.582972049713135
global,2006,u5,8,4.369601249694824
global,2007,u5,8,4.071121692657471
global,2008,u5,8,3.711921215057373
global,2009,u5,8,3.4526610374450684
global,2010,u5,8,3.1848959922790527
global,2011,u5,8,2.892632246017456
global,2012,u5,8,2.647256374359131
global,2013,u5,8,2.445225238800049
global,2014,u5,8,2.2768630981445312
global,2015,u5,8,2.1257412433624268
global,2016,u5,8,1.9862059354782104
global,2017,u5,8,1.8747389316558838
global,2000,u5,9,13.464180946350098
global,2001,u5,9,12.865321159362793
global,2002,u5,9,12.2627534866333
global,2003,u5,9,11.675941467285156
global,2004,u5,9,11.139296531677246
global,2005,u5,9,10.611298561096191
global,2006,u5,9,10.181000709533691
global,2007,u5,9,9.694355964660645
global,2008,u5,9,9.200911521911621
global,2009,u5,9,8.765788078308105
global,2010,u5,9,8.353967666625977
global,2011,u5,9,7.943741798400879
global,2012,u5,9,7.507734298706055
global,2013,u5,9,7.064854621887207
global,2014,u5,9,6.686337471008301
global,2015,u5,9,6.215421676635742
global,2016,u5,9,5.988966941833496
global,2017,u5,9,5.7606706619262695
global,2000,u5,10,10.491711616516113
global,2001,u5,10,10.237055778503418
global,2002,u5,10,9.965373039245605
global,2003,u5,10,9.700495719909668
global,2004,u5,10,9.441197395324707
global,2005,u5,10,9.206571578979492
global,2006,u5,10,8.977356910705566
global,2007,u5,10,8.767894744873047
global,2008,u5,10,8.549811363220215
global,2009,u5,10,8.345723152160645
global,2010,u5,10,8.182958602905273
global,2011,u5,10,8.017956733703613
global,2012,u5,10,7.8587846755981445
global,2013,u5,10,7.689080715179443
global,2014,u5,10,7.490530014038086
global,2015,u5,10,7.289444446563721
global,2016,u5,10,7.069586753845215
global,2017,u5,10,6.869594573974609
global,2000,u5,11,8.680838584899902
global,2001,u5,11,8.420999526977539
global,2002,u5,11,8.136968612670898
global,2003,u5,11,7.832258224487305
global,2004,u5,11,7.529581546783447
global,2005,u5,11,7.230571746826172
global,2006,u5,11,6.970757484436035
global,2007,u5,11,6.710572242736816
global,2008,u5,11,6.4583821296691895
global,2009,u5,11,6.213334560394287
global,2010,u5,11,5.9680705070495605
global,2011,u5,11,5.735130310058594
global,2012,u5,11,5.517949104309082
global,2013,u5,11,5.3343987464904785
global,2014,u5,11,5.172826290130615
global,2015,u5,11,5.021669864654541
global,2016,u5,11,4.896847724914551
global,2017,u5,11,4.783420085906982
global,2000,u5,12,3.6967310905456543
global,2001,u5,12,3.65956449508667
global,2002,u5,12,3.6216092109680176
global,2003,u5,12,3.573334217071533
global,2004,u5,12,3.5247914791107178
global,2005,u5,12,3.463587760925293
global,2006,u5,12,3.3856523036956787
global,2007,u5,12,3.32267165184021
global,2008,u5,12,3.259732246398926
global,2009,u5,12,3.183156967163086
global,2010,u5,12,3.0775387287139893
global,2011,u5,12,2.955630302429199
global,2012,u5,12,2.8366894721984863
global,2013,u5,12,2.734778642654419
global,2014,u5,12,2.6617136001586914
global,2015,u5,12,2.595461845397949
global,2016,u5,12,2.548457145690918
global,2017,u5,12,2.492849826812744
global,2000,u5,13,6.13806676864624
global,2001,u5,13,5.932243347167969
global,2002,u5,13,5.71660041809082
global,2003,u5,13,5.490258693695068
global,2004,u5,13,5.259946823120117
global,2005,u5,13,5.040491580963135
global,2006,u5,13,4.868305206298828
global,2007,u5,13,4.702945232391357
global,2008,u5,13,4.557638645172119
global,2009,u5,13,4.443817138671875
global,2010,u5,13,4.335965633392334
global,2011,u5,13,4.222618103027344
global,2012,u5,13,4.099236011505127
global,2013,u5,13,4.050581455230713
global,2014,u5,13,4.014153480529785
global,2015,u5,13,3.9544734954833984
global,2016,u5,13,3.888359546661377
global,2017,u5,13,3.775106906890869
global,2000,u5,15,4.3823561668396
global,2001,u5,15,4.315608024597168
global,2002,u5,15,4.236557960510254
global,2003,u5,15,4.135775089263916
global,2004,u5,15,4.071486949920654
global,2005,u5,15,3.995554208755493
global,2006,u5,15,3.949117660522461
global,2007,u5,15,3.8876564502716064
global,2008,u5,15,3.8210434913635254
global,2009,u5,15,3.7593774795532227
global,2010,u5,15,3.735567808151245
global,2011,u5,15,3.6932830810546875
global,2012,u5,15,3.6393721103668213
global,2013,u5,15,3.6029417514801025
global,2014,u5,15,3.5791847705841064
