country,year,pnd
dza,2003,11632.7109375
dza,2004,8920.103515625
dza,2005,8648.7724609375
dza,2006,8461.3271484375
dza,2007,8330.9599609375
dza,2008,8291.6337890625
dza,2009,8339.8427734375
dza,2010,8455.962890625
dza,2011,8640.7646484375
dza,2012,8839.6201171875
dza,2013,8998.3759765625
dza,2014,9025.18359375
dza,2015,8993.650390625
dza,2016,8857.9228515625
dza,2017,8633.96484375
ecu,2000,4673.99951171875
ecu,2001,4412.0
ecu,2002,4183.99951171875
ecu,2003,3988.000244140625
ecu,2004,3817.0
ecu,2005,3661.000244140625
ecu,2006,3527.00048828125
ecu,2007,3385.999755859375
ecu,2008,3248.0
ecu,2009,3104.000244140625
ecu,2010,2956.999755859375
ecu,2011,2809.0
ecu,2012,2669.0
ecu,2013,2547.000244140625
ecu,2014,2446.0
ecu,2015,2373.0
ecu,2016,2333.0
ecu,2017,2320.999755859375
egy,2000,42800.78515625
egy,2001,39446.31640625
egy,2002,36206.15625
egy,2003,33769.81640625
egy,2004,31905.13671875
egy,2005,30652.013671875
egy,2006,30564.615234375
egy,2007,30052.04296875
egy,2008,29133.0703125
egy,2009,28876.291015625
egy,2010,28608.69140625
egy,2011,28660.904296875
egy,2012,28872.220703125
egy,2013,28936.94921875
egy,2014,28944.423828125
egy,2015,29274.814453125
egy,2016,27181.35546875
egy,2017,26152.45703125
eri,2000,9273.7216796875
eri,2001,7044.21533203125
eri,2002,6427.6181640625
eri,2003,6180.90966796875
eri,2004,5755.375
eri,2005,5691.77001953125
eri,2006,5810.9306640625
eri,2007,5524.0185546875
eri,2008,5338.623046875
eri,2009,5323.5185546875
eri,2010,5089.93505859375
eri,2011,4965.1259765625
eri,2012,5121.55078125
eri,2013,4647.51123046875
eri,2014,4642.73583984375
eri,2015,4646.8466796875
eri,2016,4311.90966796875
eri,2017,4903.88330078125
esp,2000,1012.0000610351562
esp,2001,980.0
esp,2002,981.0
esp,2003,1003.0
esp,2004,1023.9999389648438
esp,2005,1021.0
esp,2006,1005.0
esp,2007,986.0
esp,2008,954.0
esp,2009,901.0000610351562
esp,2010,829.0
esp,2011,756.0
esp,2012,694.0
esp,2013,646.9999389648438
esp,2014,616.0
esp,2015,590.0
esp,2016,567.0
esp,2017,540.0
est,2000,73.0
est,2001,67.0
est,2002,61.999996185302734
est,2003,58.0
est,2004,55.000003814697266
est,2005,51.0
est,2006,49.0
est,2007,46.0
est,2008,43.0
est,2009,40.0
est,2010,38.0
est,2011,35.0
est,2012,31.0
est,2013,28.0
est,2014,26.0
est,2015,24.0
est,2016,22.0
est,2017,22.000001907348633
eth,2000,262626.78125
eth,2001,243907.34375
eth,2002,248425.203125
eth,2003,228239.953125
eth,2004,210124.140625
eth,2005,193680.546875
eth,2006,186166.78125
eth,2007,162012.4375
eth,2008,163617.234375
eth,2009,160931.8125
eth,2010,139057.703125
eth,2011,124680.0078125
eth,2012,118363.84375
eth,2013,114208.1796875
eth,2014,125126.53125
eth,2015,116785.015625
eth,2016,99482.796875
eth,2017,88576.4296875
fin,2000,91.99999237060547
fin,2001,83.00000762939453
fin,2002,78.00000762939453
fin,2003,74.0
fin,2004,65.0
fin,2005,57.0
fin,2006,49.0
fin,2007,43.0
fin,2008,40.0
fin,2009,41.0
fin,2010,44.0
fin,2011,50.0
fin,2012,54.999996185302734
fin,2013,55.999996185302734
fin,2014,49.999996185302734
fin,2015,38.999996185302734
fin,2016,31.000001907348633
fin,2017,25.0
fji,2000,280.86676025390625
fji,2001,267.01776123046875
fji,2002,276.1961669921875
fji,2003,263.81048583984375
fji,2004,243.9318389892578
fji,2005,240.85330200195312
fji,2006,243.6039581298828
fji,2007,244.73500061035156
fji,2008,255.0
fji,2009,260.9999694824219
fji,2010,263.0
fji,2011,264.0000305175781
fji,2012,263.0
fji,2013,262.0
fji,2014,260.0
fji,2015,259.0
fji,2016,257.0
fji,2017,257.0
fra,2000,1956.0001220703125
fra,2001,1870.0
fra,2002,1778.0
fra,2003,1723.0
fra,2004,1699.0
fra,2005,1671.9998779296875
fra,2006,1629.0
fra,2007,1591.0
fra,2008,1571.0
fra,2009,1562.0
fra,2010,1543.0
fra,2011,1501.0
fra,2012,1448.9998779296875
fra,2013,1402.0
fra,2014,1366.0
fra,2015,1352.0
fra,2016,1363.0
fra,2017,1376.9998779296875
