region,year,age_group,cause,deaths
2_amr,2012,u5,2,1042.986581414938
6_wpr,2012,u5,2,685.2633004188538
5_emr,2012,u5,2,1030.5834830105305
3_sear,2012,u5,2,5069.840000152588
1_afr,2012,u5,2,102543.42464852333
4_eur,2012,u5,2,345.8500351905823
1_afr,2013,u5,2,89370.95195317268
5_emr,2013,u5,2,1054.7999999523163
2_amr,2013,u5,2,892.7955358624458
4_eur,2013,u5,2,370.222309589386
3_sear,2013,u5,2,4940.840000152588
6_wpr,2013,u5,2,664.7976994514465
2_amr,2014,u5,2,840.7087162435055
5_emr,2014,u5,2,1096.0284268856049
3_sear,2014,u5,2,4646.850000143051
4_eur,2014,u5,2,380.77459740638733
1_afr,2014,u5,2,81973.72099614143
6_wpr,2014,u5,2,566.3580994606018
2_amr,2015,u5,2,935.4090696871281
4_eur,2015,u5,2,417.3817117214203
6_wpr,2015,u5,2,518.3301045894623
1_afr,2015,u5,2,75034.30107426643
5_emr,2015,u5,2,1087.7399940788746
3_sear,2015,u5,2,4508.860000133514
2_amr,2016,u5,2,969.2963661551476
1_afr,2016,u5,2,69097.37262070179
3_sear,2016,u5,2,4158.869999885559
5_emr,2016,u5,2,1116.7000689208508
6_wpr,2016,u5,2,550.8392996788025
4_eur,2016,u5,2,514.4484311938286
1_afr,2017,u5,2,68292.44779777527
2_amr,2017,u5,2,1020.8939373195171
4_eur,2017,u5,2,629.0999349355698
3_sear,2017,u5,2,3752.844675064087
5_emr,2017,u5,2,1128.5966341495514
6_wpr,2017,u5,2,536.330971956253
5_emr,2000,u5,3,137610.15906834602
6_wpr,2000,u5,3,57107.00155599043
1_afr,2000,u5,3,530878.8443543315
2_amr,2000,u5,3,32380.581363856792
3_sear,2000,u5,3,429256.54952812195
4_eur,2000,u5,3,12730.10619320604
5_emr,2001,u5,3,130912.96050465107
2_amr,2001,u5,3,29236.250735104084
3_sear,2001,u5,3,401842.5400533676
6_wpr,2001,u5,3,49808.05430235714
1_afr,2001,u5,3,503480.6495568305
4_eur,2001,u5,3,11161.9451232258
5_emr,2002,u5,3,124572.1756439805
3_sear,2002,u5,3,374583.166033268
4_eur,2002,u5,3,9820.737497819238
1_afr,2002,u5,3,476887.8408206701
6_wpr,2002,u5,3,45471.249902524054
2_amr,2002,u5,3,27429.460911393166
6_wpr,2003,u5,3,42014.38887685165
4_eur,2003,u5,3,8706.943937551056
3_sear,2003,u5,3,349750.4532380104
1_afr,2003,u5,3,446292.06833553314
5_emr,2003,u5,3,119616.07979846
2_amr,2003,u5,3,25300.42287170887
4_eur,2004,u5,3,7727.941687900922
5_emr,2004,u5,3,114842.37734127045
6_wpr,2004,u5,3,38521.566681072116
1_afr,2004,u5,3,420483.27623048425
3_sear,2004,u5,3,326105.6395421028
2_amr,2004,u5,3,22274.559368252754
4_eur,2005,u5,3,6921.790318174113
2_amr,2005,u5,3,20852.90904095769
6_wpr,2005,u5,3,34668.53094321489
5_emr,2005,u5,3,109887.1538630724
3_sear,2005,u5,3,303698.1443786621
1_afr,2005,u5,3,396557.8356305659
1_afr,2006,u5,3,381507.97781318426
2_amr,2006,u5,3,18354.02851381898
5_emr,2006,u5,3,105756.80302006006
4_eur,2006,u5,3,6302.623716001544
