country,year,rpost17
cyp,2009,0.1739843338727951
cyp,2010,0.17376352846622467
cyp,2011,0.1475556641817093
cyp,2012,0.08867809176445007
cyp,2013,0.12485054135322571
cyp,2014,0.16993092000484467
cyp,2015,0.16031807661056519
cyp,2016,0.11065958440303802
cyp,2017,0.07201646268367767
cze,2000,0.6937264204025269
cze,2001,0.3729344308376312
cze,2002,0.45198479294776917
cze,2003,0.36502301692962646
cze,2004,0.3746873736381531
cze,2005,0.40988022089004517
cze,2006,0.39663687348365784
cze,2007,0.4229432940483093
cze,2008,0.27841076254844666
cze,2009,0.24032007157802582
cze,2010,0.2772834599018097
cze,2011,0.2939421236515045
cze,2012,0.2235995978116989
cze,2013,0.23667198419570923
cze,2014,0.170338973402977
cze,2015,0.1482120305299759
cze,2016,0.27365759015083313
cze,2017,0.20033958554267883
deu,2000,0.35506123304367065
deu,2001,0.3370511829853058
deu,2002,0.3482503592967987
deu,2003,0.32010191679000854
deu,2004,0.29203349351882935
deu,2005,0.2661082446575165
deu,2006,0.26298242807388306
deu,2007,0.23354147374629974
deu,2008,0.22084152698516846
deu,2009,0.2480641007423401
deu,2010,0.23107466101646423
deu,2011,0.19336926937103271
deu,2012,0.19033212959766388
deu,2013,0.17103350162506104
deu,2014,0.1766749769449234
deu,2015,0.17118583619594574
deu,2016,0.16345694661140442
deu,2017,0.15998530387878418
dji,2000,3.816492795944214
dji,2001,3.7731804847717285
dji,2002,3.7101094722747803
dji,2003,3.673170804977417
dji,2004,3.6278128623962402
dji,2005,3.60654616355896
dji,2006,3.618617534637451
dji,2007,3.664064645767212
dji,2008,3.702331781387329
dji,2009,3.695406675338745
dji,2010,3.6400058269500732
dji,2011,3.5475428104400635
dji,2012,3.4650423526763916
dji,2013,3.7656702995300293
dji,2014,3.619171619415283
dji,2015,3.6146440505981445
dji,2016,3.4630661010742188
dji,2017,3.3582797050476074
dma,2000,0.23048879206180573
dma,2001,0.1716083437204361
dma,2002,0.15306200087070465
dma,2003,0.21466103196144104
dma,2004,0.21873551607131958
dma,2005,0.24078546464443207
dma,2006,0.0
dma,2007,0.0
dma,2008,0.0
